Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;5451;5451;true;48;19600;2315
2;5451;5451;true;91;36800;3630
3;5451;5451;true;59;24000;2511
4;5451;5451;true;133;53600;4621
5;5451;5451;true;195;78400;7734
6;5451;5451;true;84;34000;3771
7;5451;5451;true;161;64800;5597
8;5451;5451;true;44;18000;2021
9;5451;5451;true;13;5600;1063
10;5451;5451;true;124;50000;5049
11;5451;5451;true;120;48400;4227
12;5451;5451;true;84;34000;3246
13;5451;5451;true;43;17600;2024
14;5451;5451;true;93;37600;3939
15;5451;5451;true;70;28400;2929
16;5451;5451;true;51;20800;2946
17;5451;5451;true;99;40000;4199
18;5451;5451;true;57;23200;2747
19;5451;5451;true;130;52400;4734
20;5451;5451;true;70;28400;3142
21;5451;5451;true;49;20000;2917
22;5451;5451;true;113;45600;4064
23;5451;5451;true;41;16800;2680
24;5451;5451;true;40;16400;2187
25;5451;5451;true;107;43200;4108
26;5451;5451;true;163;65600;5770
27;5451;5451;true;63;25600;2662
28;5451;5451;true;107;43200;3839
29;5451;5451;true;160;64400;5636
30;5451;5451;true;197;79200;6686
mean;5451;5451;#¡DIV/0!;93,63333333;37853,33333;3766,466667
sd;0;0;#¡DIV/0!;48,36034521;19344,13808;1495,512523
