Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo;
1;2737;2737;true;273;109600;5236;
2;2737;2737;true;260;104400;5497;
4;2737;2737;true;29;12000;1443;
6;2737;2737;true;14;6000;1112;
7;2737;2737;true;25;10400;1414;
8;2737;2737;true;17;7200;1055;
9;2737;2737;true;245;98400;5043;
10;2737;2737;true;253;101600;5174;
11;2737;2737;true;333;133600;6806;
12;2737;2737;true;469;188000;8073;
15;2737;2737;true;411;164800;7764;
23;2737;2737;true;260;104400;4857;
26;2737;2737;true;823;329600;15675;
16;2737;2701;false;999;400000;17467;
18;2737;2701;false;999;400000;17692;
19;2737;2701;false;999;400000;27514;
21;2737;2701;false;999;400000;19695;
24;2737;2701;false;999;400000;17357;
25;2737;2701;false;999;400000;18209;
3;2737;2660;false;999;400000;17548;
5;2737;2660;false;999;400000;15631;
13;2737;2660;false;999;400000;24868;
14;2737;2660;false;999;400000;16971;
17;2737;2660;false;999;400000;15990;
20;2737;2660;false;999;400000;16797;
22;2737;2660;false;999;400000;16704;
27;2737;2660;false;999;400000;24093;
28;2737;2660;false;999;400000;18142;
29;2737;2660;false;999;400000;16601;
30;2737;2660;false;999;400000;15326;
mean;2737;2701,566667;#¡DIV/0!;679,8333333;272333,3333;12858,46667;
sd;0;34,90349586;#¡DIV/0!;398,8617497;159544,6999;7630,702678;#¡DIV/0!
