Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2778;2778;true;34;14000;1016
2;2778;2778;true;41;16800;1094
3;2778;2778;true;41;16800;1156
4;2778;2778;true;41;16800;1156
5;2778;2778;true;25;10400;1032
6;2778;2778;true;43;17600;1234
7;2778;2778;true;39;16000;1188
8;2778;2778;true;99;40000;2360
9;2778;2778;true;25;10400;1000
10;2778;2778;true;28;11600;1016
11;2778;2778;true;44;18000;1140
12;2778;2778;true;16;6800;828
13;2778;2778;true;76;30800;1531
14;2778;2778;true;31;12800;1047
15;2778;2778;true;68;27600;1735
16;2778;2778;true;25;10400;1031
17;2778;2778;true;43;17600;1203
18;2778;2778;true;58;23600;1359
19;2778;2778;true;40;16400;1203
20;2778;2778;true;38;15600;1093
21;2778;2778;true;33;13600;1062
22;2778;2778;true;26;10800;1031
23;2778;2778;true;30;12400;1031
24;2778;2778;true;67;27200;1515
25;2778;2778;true;97;39200;1876
26;2778;2778;true;315;126400;4688
27;2778;2778;true;19;8000;859
28;2778;2778;true;19;8000;859
29;2778;2778;true;310;124400;3766
30;2778;2778;true;35;14400;1297
mean;2778;2778;#¡DIV/0!;60,2;24480;1413,533333
