Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;390;390;true;0;400;140
2;390;390;true;1;800;265
3;390;390;true;1;800;282
4;390;390;true;2;1200;359
5;390;390;true;1;800;282
6;390;390;true;0;400;125
7;390;390;true;3;1600;485
8;390;390;true;1;800;234
9;390;390;true;5;2400;640
10;390;390;true;4;2000;500
11;390;390;true;4;2000;516
12;390;390;true;0;400;125
13;390;390;true;0;400;141
14;390;390;true;3;1600;531
15;390;390;true;0;400;125
16;390;390;true;0;400;125
17;390;390;true;1;800;250
18;390;390;true;1;800;235
19;390;390;true;1;800;234
20;390;390;true;0;400;141
21;390;390;true;2;1200;328
22;390;390;true;1;800;218
23;390;390;true;1;800;235
24;390;390;true;3;1600;422
25;390;390;true;1;800;234
26;390;390;true;4;2000;500
27;390;390;true;0;400;125
28;390;390;true;0;400;141
29;390;390;true;0;400;125
30;390;390;true;0;400;125
mean;390;390;#¡DIV/0!;1,333333333;933,3333333;272,9333333
