Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
24;16679;16669;false;2499;1000000;55471
15;16679;16653;false;2499;1000000;54097
23;16679;16653;false;2499;1000000;54519
27;16679;16653;false;2499;1000000;55550
7;16679;16632;false;2499;1000000;49659
9;16679;16632;false;2499;1000000;54987
19;16679;16632;false;2499;1000000;53956
22;16679;16632;false;2499;1000000;55034
29;16679;16632;false;2499;1000000;53690
10;16679;16615;false;2499;1000000;54784
14;16679;16615;false;2499;1000000;59128
20;16679;16615;false;2499;1000000;57190
21;16679;16615;false;2499;1000000;56550
26;16679;16615;false;2499;1000000;51190
12;16679;16604;false;2499;1000000;55471
18;16679;16604;false;2499;1000000;57472
30;16679;16604;false;2499;1000000;54612
13;16679;16598;false;2499;1000000;52893
16;16679;16598;false;2499;1000000;52472
5;16679;16544;false;2499;1000000;53675
3;16679;16537;false;2499;1000000;54909
11;16679;16537;false;2499;1000000;55909
25;16679;16535;false;2499;1000000;56815
28;16679;16535;false;2499;1000000;57425
2;16679;16523;false;2499;1000000;54784
1;16679;16500;false;2499;1000000;52627
8;16679;16500;false;2499;1000000;54925
17;16679;16500;false;2499;1000000;51862
4;16679;16446;false;2499;1000000;54566
6;16679;16359;false;2499;1000000;56784
mean;16679;16579,56667;#¡DIV/0!;2499;1000000;54766,86667
