Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
5;12006;12000;false;394;158000;8822
15;12006;12000;false;2499;1000000;40449
11;12006;11979;false;2499;1000000;36657
1;12006;11964;false;2499;1000000;34367
2;12006;11964;false;2499;1000000;35405
3;12006;11964;false;2499;1000000;35775
4;12006;11964;false;2499;1000000;35159
6;12006;11964;false;2499;1000000;38890
7;12006;11964;false;2499;1000000;35034
8;12006;11964;false;2499;1000000;36196
9;12006;11964;false;2499;1000000;35857
10;12006;11964;false;2499;1000000;35227
12;12006;11964;false;2499;1000000;35049
13;12006;11964;false;2499;1000000;36429
14;12006;11964;false;2499;1000000;36000
16;12006;11964;false;2499;1000000;35878
17;12006;11964;false;2499;1000000;35700
18;12006;11964;false;2499;1000000;35384
19;12006;11964;false;2499;1000000;38305
20;12006;11964;false;2499;1000000;38021
21;12006;11964;false;2499;1000000;39320
22;12006;11964;false;2499;1000000;35080
23;12006;11964;false;2499;1000000;35697
24;12006;11964;false;2499;1000000;35281
25;12006;11964;false;2499;1000000;35407
26;12006;11964;false;2499;1000000;34768
27;12006;11964;false;2499;1000000;35093
28;12006;11964;false;2499;1000000;36503
29;12006;11964;false;2499;1000000;36063
30;12006;11964;false;2499;1000000;38194
mean;12006;11966,9;#¡DIV/0!;2428,833333;971933,3333;35333,66667
