Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;4653;4653;true;99;40000;3456
2;4653;4653;true;81;32800;2126
3;4653;4653;true;100;40400;2199
4;4653;4653;true;62;25200;1726
5;4653;4653;true;139;56000;2753
6;4653;4653;true;130;52400;2693
7;4653;4653;true;92;37200;3125
8;4653;4653;true;115;46400;2339
9;4653;4653;true;139;56000;3637
10;4653;4653;true;9;4000;805
11;4653;4653;true;105;42400;2234
12;4653;4653;true;160;64400;2919
13;4653;4653;true;112;45200;2460
14;4653;4653;true;96;38800;2085
15;4653;4653;true;49;20000;1471
16;4653;4653;true;35;14400;1206
17;4653;4653;true;74;30000;1863
18;4653;4653;true;422;169200;6234
19;4653;4653;true;19;8000;992
20;4653;4653;true;26;10800;1131
21;4653;4653;true;57;23200;1614
22;4653;4653;true;547;219200;9030
23;4653;4653;true;158;63600;4492
24;4653;4653;true;124;50000;2432
25;4653;4653;true;263;105600;5211
26;4653;4653;true;148;59600;3858
27;4653;4653;true;68;27600;1785
28;4653;4653;true;117;47200;3430
29;4653;4653;true;426;170800;7250
30;4653;4653;true;99;40000;2191
mean;4653;4653;#¡DIV/0!;135,7;54680;2958,233333
