longit crom=109
Generation: 0; Best individual: 0,976846396923065200
Generation: 1; Best individual: 0,976846396923065200
Generation: 2; Best individual: 0,976846396923065200
Generation: 3; Best individual: 0,976846396923065200
Generation: 4; Best individual: 0,978622972965240500
Generation: 5; Best individual: 0,978622972965240500
Generation: 6; Best individual: 0,979121029376983600
Generation: 7; Best individual: 0,979121029376983600
Generation: 8; Best individual: 0,979121029376983600
Generation: 9; Best individual: 0,979121029376983600
Generation: 10; Best individual: 0,979121029376983600
Generation: 11; Best individual: 0,982849895954132100
Generation: 12; Best individual: 0,982849895954132100
Generation: 13; Best individual: 0,982849895954132100
Generation: 14; Best individual: 0,982849895954132100
Generation: 15; Best individual: 0,982849895954132100
Generation: 16; Best individual: 0,982849895954132100
Generation: 17; Best individual: 0,982849895954132100
Generation: 18; Best individual: 0,982849895954132100
Generation: 19; Best individual: 0,982849895954132100
Generation: 20; Best individual: 0,982849895954132100
Generation: 21; Best individual: 0,982849895954132100
Generation: 22; Best individual: 0,982849895954132100
Generation: 23; Best individual: 0,982849895954132100
Generation: 24; Best individual: 0,982849895954132100
Generation: 25; Best individual: 0,982849895954132100
Generation: 26; Best individual: 0,982849895954132100
Generation: 27; Best individual: 0,982849895954132100
Generation: 28; Best individual: 0,982849895954132100
Generation: 29; Best individual: 0,982849895954132100
Generation: 30; Best individual: 0,982849895954132100
Generation: 31; Best individual: 0,982849895954132100
Generation: 32; Best individual: 0,982849895954132100
Generation: 33; Best individual: 0,982849895954132100
Generation: 34; Best individual: 0,982849895954132100
Generation: 35; Best individual: 0,982849895954132100
Generation: 36; Best individual: 0,982849895954132100
Generation: 37; Best individual: 0,982849895954132100
Generation: 38; Best individual: 0,982849895954132100
Generation: 39; Best individual: 0,982849895954132100
Generation: 40; Best individual: 0,982849895954132100
Generation: 41; Best individual: 0,982849895954132100
Generation: 42; Best individual: 0,982849895954132100
Generation: 43; Best individual: 0,982849895954132100
Generation: 44; Best individual: 0,982849895954132100
Generation: 45; Best individual: 0,982849895954132100
Generation: 46; Best individual: 0,982849895954132100
Generation: 47; Best individual: 0,982849895954132100
Generation: 48; Best individual: 0,982849895954132100
Generation: 49; Best individual: 0,982849895954132100
Generation: 50; Best individual: 0,982849895954132100
Generation: 51; Best individual: 0,982849895954132100
Generation: 52; Best individual: 0,982849895954132100
Generation: 53; Best individual: 0,982849895954132100
Generation: 54; Best individual: 0,982849895954132100
Generation: 55; Best individual: 0,982849895954132100
Generation: 56; Best individual: 0,982849895954132100
Generation: 57; Best individual: 0,982849895954132100
Generation: 58; Best individual: 0,982849895954132100
Generation: 59; Best individual: 0,982849895954132100
Generation: 60; Best individual: 0,982849895954132100
Generation: 61; Best individual: 0,982849895954132100
Generation: 62; Best individual: 0,982849895954132100
Generation: 63; Best individual: 0,982849895954132100
Generation: 64; Best individual: 0,982849895954132100
Generation: 65; Best individual: 0,982849895954132100
Generation: 66; Best individual: 0,982849895954132100
Generation: 67; Best individual: 0,982849895954132100
Generation: 68; Best individual: 0,982849895954132100
Generation: 69; Best individual: 0,982849895954132100
Generation: 70; Best individual: 0,982849895954132100
Generation: 71; Best individual: 0,982849895954132100
Generation: 72; Best individual: 0,982849895954132100
Generation: 73; Best individual: 0,982849895954132100
Generation: 74; Best individual: 0,982849895954132100
Generation: 75; Best individual: 0,982849895954132100
Generation: 76; Best individual: 0,982849895954132100
Generation: 77; Best individual: 0,982849895954132100
Generation: 78; Best individual: 0,982849895954132100
Generation: 79; Best individual: 0,982849895954132100
Generation: 80; Best individual: 0,982849895954132100
Generation: 81; Best individual: 0,982849895954132100
Generation: 82; Best individual: 0,982849895954132100
Generation: 83; Best individual: 0,982849895954132100
Generation: 84; Best individual: 0,982849895954132100
Generation: 85; Best individual: 0,982849895954132100
Generation: 86; Best individual: 0,982849895954132100
Generation: 87; Best individual: 0,982849895954132100
Generation: 88; Best individual: 0,982849895954132100
Generation: 89; Best individual: 0,982849895954132100
Generation: 90; Best individual: 0,982849895954132100
Generation: 91; Best individual: 0,982849895954132100
Generation: 92; Best individual: 0,982849895954132100
