Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;45;18400;1991
2;2721;2721;true;0;400;209
3;2721;2721;true;5;2400;588
4;2721;2721;true;15;6400;1093
5;2721;2721;true;115;46400;3211
6;2721;2721;true;27;11200;1454
7;2721;2721;true;66;26800;2045
8;2721;2721;true;11;4800;878
9;2721;2721;true;90;36400;2418
10;2721;2721;true;0;400;322
11;2721;2721;true;15;6400;1094
12;2721;2721;true;2;1200;321
13;2721;2721;true;8;3600;634
14;2721;2721;true;44;18000;1662
15;2721;2721;true;94;38000;2604
16;2721;2721;true;60;24400;2069
17;2721;2721;true;26;10800;1508
18;2721;2721;true;31;12800;1620
19;2721;2721;true;38;15600;1967
20;2721;2721;true;7;3200;820
21;2721;2721;true;14;6000;1286
22;2721;2721;true;5;2400;726
23;2721;2721;true;0;400;461
24;2721;2721;true;14;6000;1195
25;2721;2721;true;9;4000;912
26;2721;2721;true;34;14000;1795
27;2721;2721;true;44;18000;1941
28;2721;2721;true;30;12400;1561
29;2721;2721;true;37;15200;1455
30;2721;2721;true;20;8400;1426
mean;2721;2721;#¡DIV/0!;30,2;12480;1375,533333
