Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2950;2950;true;34;14000;1528
2;2950;2950;true;34;14000;1569
3;2950;2950;true;38;15600;1593
4;2950;2950;true;29;12000;1515
5;2950;2950;true;32;13200;1636
6;2950;2950;true;35;14400;1449
7;2950;2950;true;55;22400;2105
8;2950;2950;true;46;18800;1778
9;2950;2950;true;1;800;308
10;2950;2950;true;28;11600;1302
11;2950;2950;true;49;20000;1788
12;2950;2950;true;32;13200;1542
13;2950;2950;true;18;7600;1274
14;2950;2950;true;49;20000;1777
15;2950;2950;true;25;10400;1321
16;2950;2950;true;31;12800;1413
17;2950;2950;true;31;12800;1397
18;2950;2950;true;10;4400;875
19;2950;2950;true;36;14800;1510
20;2950;2950;true;62;25200;2094
21;2950;2950;true;74;30000;2274
22;2950;2950;true;38;15600;1545
23;2950;2950;true;74;30000;2299
24;2950;2950;true;30;12400;1410
25;2950;2950;true;47;19200;1836
26;2950;2950;true;38;15600;1586
27;2950;2950;true;36;14800;1500
28;2950;2950;true;26;10800;1447
29;2950;2950;true;41;16800;1577
30;2950;2950;true;21;8800;1298
mean;2950;2950;#¡DIV/0!;36,66666667;15066,66667;1551,533333
