Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;5451;5451;true;79;32000;3698
2;5451;5451;true;136;54800;3129
3;5451;5451;true;162;65200;4159
4;5451;5451;true;46;18800;1653
5;5451;5451;true;111;44800;4646
6;5451;5451;true;190;76400;8512
7;5451;5451;true;296;118800;9193
8;5451;5451;true;75;30400;3472
9;5451;5451;true;70;28400;3166
10;5451;5451;true;122;49200;2934
11;5451;5451;true;106;42800;5691
12;5451;5451;true;81;32800;3650
13;5451;5451;true;134;54000;3773
14;5451;5451;true;66;26800;1962
15;5451;5451;true;95;38400;3255
16;5451;5451;true;30;12400;4066
18;5451;5451;true;185;74400;6247
19;5451;5451;true;88;35600;4197
20;5451;5451;true;49;20000;4297
21;5451;5451;true;56;22800;4038
22;5451;5451;true;116;46800;2695
23;5451;5451;true;26;10800;1308
24;5451;5451;true;73;29600;2829
25;5451;5451;true;94;38000;2504
26;5451;5451;true;300;120400;10248
27;5451;5451;true;200;80400;8471
28;5451;5451;true;67;27200;4075
29;5451;5451;true;128;51600;4389
30;5451;5451;true;53;21600;3227
17;5451;5409;false;1999;800000;47560
mean;5451;5449,6;#¡DIV/0!;174,4333333;70173,33333;5768,133333
