Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
29;261395;258610;false;925;370400;123077
1;261395;258610;false;1999;800000;285124
22;261395;258610;false;1999;800000;253817
15;261395;258482;false;1999;800000;219331
3;261395;258480;false;1999;800000;288419
16;261395;258416;false;1999;800000;254339
9;261395;258398;false;1999;800000;238533
6;261395;258306;false;1999;800000;254897
18;261395;258270;false;1999;800000;210194
24;261395;258025;false;1999;800000;252897
2;261395;257739;false;1999;800000;292858
20;261395;257650;false;1999;800000;235965
11;261395;257576;false;1999;800000;228084
5;261395;257476;false;1999;800000;234307
8;261395;257405;false;1999;800000;223248
19;261395;257366;false;1999;800000;269858
23;261395;257355;false;1999;800000;251853
7;261395;257025;false;1999;800000;228234
12;261395;256953;false;1999;800000;257310
28;261395;256909;false;1999;800000;251442
25;261395;256770;false;1999;800000;256393
26;261395;256538;false;1999;800000;237240
13;261395;256124;false;1999;800000;261500
10;261395;255986;false;1999;800000;251609
14;261395;255804;false;1999;800000;244763
30;261395;255489;false;1999;800000;259107
17;261395;255487;false;1999;800000;260546
21;261395;255281;false;1999;800000;264631
4;261395;255274;false;1999;800000;260707
27;261395;255268;false;1999;800000;275737
mean;261395;257201,4;#¡DIV/0!;1963,2;785680;247534
