Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;13932;13932;true;0;400;404
2;13932;13932;true;0;400;539
3;13932;13932;true;0;400;414
4;13932;13932;true;0;400;494
5;13932;13932;true;0;400;419
6;13932;13932;true;0;400;479
7;13932;13932;true;0;400;525
8;13932;13932;true;0;400;408
9;13932;13932;true;0;400;584
10;13932;13932;true;0;400;450
11;13932;13932;true;0;400;468
12;13932;13932;true;0;400;475
13;13932;13932;true;0;400;475
14;13932;13932;true;0;400;476
15;13932;13932;true;0;400;398
16;13932;13932;true;0;400;433
17;13932;13932;true;0;400;436
18;13932;13932;true;0;400;471
19;13932;13932;true;0;400;437
20;13932;13932;true;0;400;426
21;13932;13932;true;0;400;472
22;13932;13932;true;0;400;469
23;13932;13932;true;0;400;413
24;13932;13932;true;0;400;439
25;13932;13932;true;0;400;431
26;13932;13932;true;0;400;462
27;13932;13932;true;0;400;460
28;13932;13932;true;0;400;453
29;13932;13932;true;0;400;440
30;13932;13932;true;0;400;461
