Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo;
11;16869;16694;false;1999;800000;57488;
19;16869;16694;false;1999;800000;52425;
21;16869;16694;false;1999;800000;59638;
27;16869;16694;false;1999;800000;52797;
4;16869;16687;false;1999;800000;52923;
28;16869;16674;false;1999;800000;52775;
5;16869;16657;false;1999;800000;59427;
1;16869;16646;false;1999;800000;51976;
2;16869;16646;false;1999;800000;48296;
3;16869;16646;false;1999;800000;48430;
7;16869;16646;false;1999;800000;49005;
9;16869;16646;false;1999;800000;52992;
10;16869;16646;false;1999;800000;51018;
12;16869;16646;false;1999;800000;53840;
15;16869;16646;false;1999;800000;51528;
16;16869;16646;false;1999;800000;47478;
17;16869;16646;false;1999;800000;48703;
22;16869;16646;false;1999;800000;48896;
23;16869;16646;false;1999;800000;52240;
24;16869;16646;false;1999;800000;47453;
26;16869;16646;false;1999;800000;51540;
29;16869;16646;false;1999;800000;49344;
30;16869;16646;false;1999;800000;50703;
8;16869;16636;false;1999;800000;52240;
18;16869;16636;false;1999;800000;55024;
20;16869;16636;false;1999;800000;52848;
13;16869;16634;false;1999;800000;52809;
25;16869;16615;false;1999;800000;52339;
14;16869;16584;false;1999;800000;50732;
6;16869;16546;false;1999;800000;57563;
mean;16869;16647,23333;#¡DIV/0!;1999;800000;52149;#¡DIV/0!
