Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
29;16881;16702;false;1999;800000;61510
10;16881;16697;false;1999;800000;60105
30;16881;16693;false;1999;800000;64543
5;16881;16687;false;1999;800000;59523
27;16881;16682;false;1999;800000;60625
2;16881;16681;false;1999;800000;58678
18;16881;16681;false;1999;800000;66019
28;16881;16680;false;1999;800000;66793
7;16881;16673;false;1999;800000;65627
24;16881;16672;false;1999;800000;64600
26;16881;16663;false;1999;800000;61827
4;16881;16661;false;1999;800000;65569
6;16881;16659;false;1999;800000;60350
17;16881;16656;false;1999;800000;66253
20;16881;16638;false;1999;800000;61659
11;16881;16628;false;1999;800000;59532
19;16881;16622;false;1999;800000;62897
15;16881;16619;false;1999;800000;61104
8;16881;16616;false;1999;800000;62458
1;16881;16608;false;1999;800000;60802
21;16881;16585;false;1999;800000;64367
3;16881;16579;false;1999;800000;66492
16;16881;16579;false;1999;800000;65324
22;16881;16576;false;1999;800000;65455
12;16881;16567;false;1999;800000;67031
14;16881;16563;false;1999;800000;66037
23;16881;16561;false;1999;800000;64996
9;16881;16543;false;1999;800000;67443
25;16881;16500;false;1999;800000;61723
13;16881;16464;false;1999;800000;61356
mean;16881;16624,5;#¡DIV/0!;1999;800000;63356,6
