Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
27;432714;432714;true;118;47600;3572
2;432714;432198;false;1999;800000;43026
3;432714;432198;false;1999;800000;41553
5;432714;432198;false;1999;800000;40344
8;432714;432198;false;1999;800000;39270
12;432714;432198;false;1999;800000;41101
13;432714;432198;false;1999;800000;37431
14;432714;432198;false;1999;800000;34764
17;432714;432198;false;1999;800000;33838
18;432714;432198;false;1999;800000;39794
19;432714;432198;false;1999;800000;37418
20;432714;432198;false;1999;800000;41075
21;432714;432198;false;1999;800000;46107
22;432714;432198;false;1999;800000;44165
26;432714;432198;false;1999;800000;48134
28;432714;432198;false;1999;800000;39322
29;432714;432198;false;1999;800000;38602
30;432714;432198;false;1999;800000;42711
1;432714;430368;false;1999;800000;35929
4;432714;430368;false;1999;800000;36918
6;432714;430368;false;1999;800000;37556
7;432714;430368;false;1999;800000;32867
9;432714;430368;false;1999;800000;36690
10;432714;430368;false;1999;800000;32043
11;432714;430368;false;1999;800000;32194
15;432714;430368;false;1999;800000;36326
16;432714;430368;false;1999;800000;36160
23;432714;430368;false;1999;800000;37166
24;432714;430368;false;1999;800000;39917
25;432714;430368;false;1999;800000;35830
mean;432714;431483,2;#¡DIV/0!;1936,3;774920;37394,1
