Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;12215;12153;false;1999;800000;50421
6;12215;12153;false;1999;800000;58243
30;12215;12153;false;1999;800000;54341
7;12215;12152;false;1999;800000;54178
8;12215;12147;false;1999;800000;54598
24;12215;12125;false;1999;800000;51160
11;12215;12124;false;1999;800000;53456
28;12215;12124;false;1999;800000;52354
20;12215;12123;false;1999;800000;51247
26;12215;12123;false;1999;800000;52287
10;12215;12079;false;1999;800000;65143
14;12215;12079;false;1999;800000;55089
16;12215;12079;false;1999;800000;53938
25;12215;12079;false;1999;800000;55489
5;12215;12059;false;1999;800000;50881
12;12215;12059;false;1999;800000;47738
17;12215;12059;false;1999;800000;49852
19;12215;12059;false;1999;800000;50567
23;12215;12059;false;1999;800000;53897
27;12215;12059;false;1999;800000;49217
9;12215;12055;false;1999;800000;51556
2;12215;12038;false;1999;800000;52909
22;12215;12033;false;1999;800000;52940
4;12215;12017;false;1999;800000;50072
18;12215;12017;false;1999;800000;46828
21;12215;12017;false;1999;800000;48443
29;12215;12003;false;1999;800000;61504
15;12215;11999;false;1999;800000;55221
13;12215;11987;false;1999;800000;60102
3;12215;11980;false;1999;800000;52592
mean;12215;12073,1;#¡DIV/0!;1999;800000;53208,76667
