Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2737;2737;true;3;1600;435
2;2737;2737;true;0;400;150
3;2737;2737;true;0;400;150
4;2737;2737;true;13;5600;793
5;2737;2737;true;30;12400;1528
6;2737;2737;true;9;4000;705
7;2737;2737;true;64;26000;1335
8;2737;2737;true;47;19200;1969
9;2737;2737;true;7;3200;637
10;2737;2737;true;5;2400;1089
11;2737;2737;true;0;400;143
12;2737;2737;true;12;5200;779
13;2737;2737;true;2;1200;337
14;2737;2737;true;4;2000;474
15;2737;2737;true;46;18800;1445
16;2737;2737;true;0;400;135
17;2737;2737;true;1;800;911
18;2737;2737;true;76;30800;1666
19;2737;2737;true;26;10800;928
20;2737;2737;true;0;400;140
21;2737;2737;true;1;800;234
22;2737;2737;true;24;10000;1643
23;2737;2737;true;15;6400;815
24;2737;2737;true;29;12000;920
25;2737;2737;true;10;4400;724
26;2737;2737;true;97;39200;1713
27;2737;2737;true;24;10000;980
28;2737;2737;true;9;4000;839
29;2737;2737;true;9;4000;722
30;2737;2737;true;56;22800;1331
