Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
2;4653;4637;false;1999;800000;55023
3;4653;4637;false;1999;800000;52318
4;4653;4637;false;1999;800000;50860
5;4653;4637;false;1999;800000;47260
6;4653;4637;false;1999;800000;40161
7;4653;4637;false;1999;800000;40326
8;4653;4637;false;1999;800000;39969
10;4653;4637;false;1999;800000;40728
11;4653;4637;false;1999;800000;42708
12;4653;4637;false;1999;800000;37916
13;4653;4637;false;1999;800000;42770
15;4653;4637;false;1999;800000;40285
16;4653;4637;false;1999;800000;46480
17;4653;4637;false;1999;800000;46624
18;4653;4637;false;1999;800000;51178
19;4653;4637;false;1999;800000;42954
20;4653;4637;false;1999;800000;47470
21;4653;4637;false;1999;800000;43260
22;4653;4637;false;1999;800000;38269
23;4653;4637;false;1999;800000;41108
24;4653;4637;false;1999;800000;42817
26;4653;4637;false;1999;800000;38354
27;4653;4637;false;1999;800000;37468
28;4653;4637;false;1999;800000;41543
29;4653;4637;false;1999;800000;39250
30;4653;4637;false;1999;800000;39834
1;4653;4625;false;1999;800000;54094
9;4653;4625;false;1999;800000;37486
14;4653;4625;false;1999;800000;44895
25;4653;4625;false;1999;800000;43128
mean;4653;4635,4;#¡DIV/0!;1999;800000;43551,2
