Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721.0;2721.0;true;9;4000;834
2;2721.0;2721.0;true;54;22000;2022
3;2721.0;2721.0;true;11;4800;794
4;2721.0;2721.0;true;16;6800;1021
5;2721.0;2721.0;true;11;4800;1216
6;2721.0;2721.0;true;10;4400;820
7;2721.0;2721.0;true;1;800;273
8;2721.0;2721.0;true;30;12400;1964
9;2721.0;2721.0;true;52;21200;1885
10;2721.0;2721.0;true;35;14400;1545
11;2721.0;2721.0;true;14;6000;1084
12;2721.0;2721.0;true;7;3200;654
13;2721.0;2721.0;true;23;9600;1226
14;2721.0;2721.0;true;21;8800;1174
15;2721.0;2721.0;true;8;3600;735
16;2721.0;2721.0;true;146;58800;3600
17;2721.0;2721.0;true;10;4400;817
18;2721.0;2721.0;true;37;15200;1589
19;2721.0;2721.0;true;12;5200;910
20;2721.0;2721.0;true;40;16400;1639
21;2721.0;2721.0;true;10;4400;752
22;2721.0;2721.0;true;6;2800;525
23;2721.0;2721.0;true;89;36000;2484
24;2721.0;2721.0;true;2;1200;318
25;2721.0;2721.0;true;68;27600;2215
26;2721.0;2721.0;true;27;11200;1384
27;2721.0;2721.0;true;36;14800;2018
28;2721.0;2721.0;true;27;11200;1442
29;2721.0;2721.0;true;12;5200;1082
30;2721.0;2721.0;true;17;7200;1188
