Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2694.0;2694.0;true;13;5600;954
2;2694.0;2694.0;true;6;2800;681
3;2694.0;2694.0;true;8;3600;693
4;2694.0;2694.0;true;0;400;164
5;2694.0;2694.0;true;11;4800;891
6;2694.0;2694.0;true;10;4400;797
7;2694.0;2694.0;true;12;5200;825
8;2694.0;2694.0;true;20;8400;1302
9;2694.0;2694.0;true;3;1600;429
10;2694.0;2694.0;true;9;4000;673
11;2694.0;2694.0;true;12;5200;1673
12;2694.0;2694.0;true;17;7200;1095
13;2694.0;2694.0;true;7;3200;679
14;2694.0;2694.0;true;2;1200;507
15;2694.0;2694.0;true;4;2000;498
16;2694.0;2694.0;true;18;7600;1038
17;2694.0;2694.0;true;0;400;265
18;2694.0;2694.0;true;9;4000;674
19;2694.0;2694.0;true;7;3200;714
20;2694.0;2694.0;true;9;4000;968
21;2694.0;2694.0;true;0;400;131
22;2694.0;2694.0;true;6;2800;567
23;2694.0;2694.0;true;12;5200;906
24;2694.0;2694.0;true;16;6800;1023
25;2694.0;2694.0;true;0;400;274
26;2694.0;2694.0;true;4;2000;410
27;2694.0;2694.0;true;0;400;174
28;2694.0;2694.0;true;8;3600;981
29;2694.0;2694.0;true;9;4000;669
30;2694.0;2694.0;true;26;10800;1557
