Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;13932;13932;true;66;27133;2066
2;13932;13932;true;43;17956;1630
3;13932;13932;true;63;25936;2018
4;13932;13932;true;12;5587;1253
5;13932;13932;true;26;11173;1262
6;13932;13932;true;78;31921;2127
7;13932;13932;true;69;28330;1983
8;13932;13932;true;34;14365;1300
9;13932;13932;true;29;12370;1231
10;13932;13932;true;34;14365;1258
11;13932;13932;true;124;50275;3006
12;13932;13932;true;56;23143;1892
13;13932;13932;true;28;11971;1204
14;13932;13932;true;63;25936;1854
15;13932;13932;true;69;28330;2053
16;13932;13932;true;72;29527;2060
17;13932;13932;true;33;13966;1466
18;13932;13932;true;47;19552;1615
19;13932;13932;true;21;9178;1060
20;13932;13932;true;153;61846;3707
21;13932;13932;true;22;9577;1154
22;13932;13932;true;59;24340;1861
23;13932;13932;true;57;23542;1826
24;13932;13932;true;57;23542;1822
25;13932;13932;true;28;11971;1227
26;13932;13932;true;51;21148;1680
27;13932;13932;true;63;25936;1913
28;13932;13932;true;18;7981;1021
29;13932;13932;true;89;36310;2425
30;13932;13932;true;26;11173;1165
