Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
27;12006;11323;false;1002;400198;21767
8;12006;11103;false;1002;400198;22943
14;12006;11103;false;1002;400198;22023
21;12006;11092;false;1002;400198;21689
24;12006;11092;false;1002;400198;21567
17;12006;11017;false;1002;400198;23002
3;12006;11008;false;1002;400198;21987
6;12006;11008;false;1002;400198;23088
16;12006;11008;false;1002;400198;22274
5;12006;10980;false;1002;400198;21973
10;12006;10980;false;1002;400198;22162
18;12006;10980;false;1002;400198;22702
30;12006;10980;false;1002;400198;23299
1;12006;10971;false;1002;400198;21940
15;12006;10953;false;1002;400198;22215
20;12006;10943;false;1002;400198;22170
28;12006;10936;false;1002;400198;22001
11;12006;10935;false;1002;400198;22155
23;12006;10935;false;1002;400198;22584
2;12006;10927;false;1002;400198;22163
4;12006;10927;false;1002;400198;21873
12;12006;10927;false;1002;400198;22380
19;12006;10927;false;1002;400198;22163
25;12006;10927;false;1002;400198;22342
29;12006;10927;false;1002;400198;22548
9;12006;10922;false;1002;400198;21939
7;12006;10917;false;1002;400198;23508
22;12006;10916;false;1002;400198;21983
26;12006;10911;false;1002;400198;22469
13;12006;10857;false;1002;400198;22136
mean;12006;10981,06667;#¡DIV/0!;1002;400198;22301,5
