Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2690.0;2586.0;false;1002;400198;11308
2;2690.0;2586.0;false;1002;400198;10431
3;2690.0;2586.0;false;1002;400198;11667
4;2690.0;2586.0;false;1002;400198;10742
5;2690.0;2586.0;false;1002;400198;11415
6;2690.0;2586.0;false;1002;400198;10549
7;2690.0;2586.0;false;1002;400198;10902
8;2690.0;2586.0;false;1002;400198;11451
9;2690.0;2586.0;false;1002;400198;11849
10;2690.0;2586.0;false;1002;400198;10733
11;2690.0;2586.0;false;1002;400198;10415
12;2690.0;2586.0;false;1002;400198;11553
13;2690.0;2586.0;false;1002;400198;10029
14;2690.0;2586.0;false;1002;400198;11778
15;2690.0;2586.0;false;1002;400198;11492
16;2690.0;2586.0;false;1002;400198;10621
17;2690.0;2586.0;false;1002;400198;11677
18;2690.0;2586.0;false;1002;400198;11060
19;2690.0;2586.0;false;1002;400198;11959
20;2690.0;2586.0;false;1002;400198;11182
21;2690.0;2586.0;false;1002;400198;10970
22;2690.0;2586.0;false;1002;400198;11625
23;2690.0;2586.0;false;1002;400198;11290
24;2690.0;2586.0;false;1002;400198;12661
25;2690.0;2586.0;false;1002;400198;12131
26;2690.0;2586.0;false;1002;400198;11577
27;2690.0;2586.0;false;1002;400198;11709
28;2690.0;2586.0;false;1002;400198;10645
29;2690.0;2586.0;false;1002;400198;11532
30;2690.0;2586.0;false;1002;400198;12235
