Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;9770.0;9332.0;false;1002;400198;25128
2;9770.0;9332.0;false;1002;400198;25516
3;9770.0;9332.0;false;1002;400198;25766
4;9770.0;9332.0;false;1002;400198;26889
5;9770.0;9332.0;false;1002;400198;26320
6;9770.0;9332.0;false;1002;400198;26896
7;9770.0;9332.0;false;1002;400198;26397
8;9770.0;9332.0;false;1002;400198;25908
9;9770.0;9332.0;false;1002;400198;26223
10;9770.0;9332.0;false;1002;400198;27181
11;9770.0;9332.0;false;1002;400198;27069
12;9770.0;9380.0;false;1002;400198;26630
13;9770.0;9332.0;false;1002;400198;26544
14;9770.0;9335.0;false;1002;400198;26804
15;9770.0;9335.0;false;1002;400198;26897
16;9770.0;9332.0;false;1002;400198;27209
17;9770.0;9423.0;false;1002;400198;25382
18;9770.0;9332.0;false;1002;400198;26472
19;9770.0;9355.0;false;1002;400198;27758
20;9770.0;9332.0;false;1002;400198;27182
21;9770.0;9332.0;false;1002;400198;27347
22;9770.0;9332.0;false;1002;400198;27763
23;9770.0;9332.0;false;1002;400198;27632
24;9770.0;9332.0;false;1002;400198;25668
25;9770.0;9413.0;false;1002;400198;27267
26;9770.0;9332.0;false;1002;400198;26382
27;9770.0;9332.0;false;1002;400198;25257
28;9770.0;9332.0;false;1002;400198;25963
29;9770.0;9332.0;false;1002;400198;24893
30;9770.0;9335.0;false;1002;400198;25237
