Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;13932.0;13932.0;true;16;6800;1035
2;13932.0;13932.0;true;13;5600;947
3;13932.0;13932.0;true;21;8800;1131
4;13932.0;13932.0;true;18;7600;1015
5;13932.0;13932.0;true;19;8000;1344
6;13932.0;13932.0;true;15;6400;978
7;13932.0;13932.0;true;12;5200;884
8;13932.0;13932.0;true;17;7200;1057
9;13932.0;13932.0;true;20;8400;1145
10;13932.0;13932.0;true;18;7600;1055
11;13932.0;13932.0;true;20;8400;1237
12;13932.0;13932.0;true;18;7600;1291
13;13932.0;13932.0;true;17;7200;1016
14;13932.0;13932.0;true;18;7600;1155
15;13932.0;13932.0;true;19;8000;1364
16;13932.0;13932.0;true;14;6000;1113
17;13932.0;13932.0;true;16;6800;1211
18;13932.0;13932.0;true;14;6000;972
19;13932.0;13932.0;true;12;5200;858
20;13932.0;13932.0;true;17;7200;1090
21;13932.0;13932.0;true;17;7200;1065
22;13932.0;13932.0;true;17;7200;1021
23;13932.0;13932.0;true;15;6400;997
24;13932.0;13932.0;true;21;8800;1298
25;13932.0;13932.0;true;16;6800;989
26;13932.0;13932.0;true;24;10000;1224
27;13932.0;13932.0;true;14;6000;930
28;13932.0;13932.0;true;21;8800;1158
29;13932.0;13932.0;true;17;7200;964
30;13932.0;13932.0;true;18;7600;1030
