Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
28;63112;62175;false;999;400000;45472
24;63112;61857;false;999;400000;46841
29;63112;61768;false;999;400000;39299
2;63112;61708;false;999;400000;36046
27;63112;61708;false;999;400000;51906
14;63112;61550;false;999;400000;50297
17;63112;61216;false;999;400000;43937
16;63112;61166;false;999;400000;43907
10;63112;61143;false;999;400000;55150
6;63112;61141;false;999;400000;51464
9;63112;61113;false;999;400000;44808
13;63112;61113;false;999;400000;52589
18;63112;61113;false;999;400000;49145
20;63112;61113;false;999;400000;48141
22;63112;61113;false;999;400000;34591
23;63112;61113;false;999;400000;36951
26;63112;61113;false;999;400000;50669
12;63112;61103;false;999;400000;51590
15;63112;61103;false;999;400000;39554
19;63112;61103;false;999;400000;38906
30;63112;61103;false;999;400000;39662
3;63112;61044;false;999;400000;47828
5;63112;60869;false;999;400000;52449
1;63112;60747;false;999;400000;51587
4;63112;60529;false;999;400000;48281
7;63112;60440;false;999;400000;59521
8;63112;60373;false;999;400000;51381
25;63112;60348;false;999;400000;57279
21;63112;60267;false;999;400000;52933
11;63112;59963;false;999;400000;52652
mean;63112;61073,83333;#¡DIV/0!;999;400000;47494,53333
