Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2690.0;2586.0;false;999;400000;9719
2;2690.0;2586.0;false;999;400000;10083
3;2690.0;2586.0;false;999;400000;9472
4;2690.0;2586.0;false;999;400000;9337
5;2690.0;2586.0;false;999;400000;10925
6;2690.0;2586.0;false;999;400000;9111
7;2690.0;2586.0;false;999;400000;10124
8;2690.0;2586.0;false;999;400000;9892
9;2690.0;2586.0;false;999;400000;9495
10;2690.0;2586.0;false;999;400000;9242
11;2690.0;2586.0;false;999;400000;11675
12;2690.0;2586.0;false;999;400000;10919
13;2690.0;2586.0;false;999;400000;9717
14;2690.0;2586.0;false;999;400000;9406
15;2690.0;2586.0;false;999;400000;9426
16;2690.0;2586.0;false;999;400000;11583
17;2690.0;2586.0;false;999;400000;10989
18;2690.0;2586.0;false;999;400000;9046
19;2690.0;2586.0;false;999;400000;9385
20;2690.0;2586.0;false;999;400000;9780
21;2690.0;2586.0;false;999;400000;9617
22;2690.0;2586.0;false;999;400000;9988
23;2690.0;2586.0;false;999;400000;9628
24;2690.0;2586.0;false;999;400000;9853
25;2690.0;2586.0;false;999;400000;9654
26;2690.0;2586.0;false;999;400000;8973
27;2690.0;2586.0;false;999;400000;9447
28;2690.0;2586.0;false;999;400000;9560
29;2690.0;2586.0;false;999;400000;10292
30;2690.0;2586.0;false;999;400000;9865
