Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;9770.0;9423.0;false;999;400000;23380
2;9770.0;9332.0;false;999;400000;26222
3;9770.0;9332.0;false;999;400000;25357
4;9770.0;9377.0;false;999;400000;23866
5;9770.0;9413.0;false;999;400000;26348
6;9770.0;9279.0;false;999;400000;25604
7;9770.0;9332.0;false;999;400000;24779
8;9770.0;9413.0;false;999;400000;25162
9;9770.0;9328.0;false;999;400000;24781
10;9770.0;9432.0;false;999;400000;22965
11;9770.0;9358.0;false;999;400000;25265
12;9770.0;9413.0;false;999;400000;22491
13;9770.0;9377.0;false;999;400000;22623
14;9770.0;9335.0;false;999;400000;25309
15;9770.0;9358.0;false;999;400000;24526
16;9770.0;9413.0;false;999;400000;25437
17;9770.0;9377.0;false;999;400000;21767
18;9770.0;9300.0;false;999;400000;22868
19;9770.0;9413.0;false;999;400000;25314
20;9770.0;9332.0;false;999;400000;24077
21;9770.0;9360.0;false;999;400000;24633
22;9770.0;9413.0;false;999;400000;23433
23;9770.0;9413.0;false;999;400000;22438
24;9770.0;9377.0;false;999;400000;22468
25;9770.0;9413.0;false;999;400000;25781
26;9770.0;9413.0;false;999;400000;25390
27;9770.0;9377.0;false;999;400000;24679
28;9770.0;9249.0;false;999;400000;24063
29;9770.0;9358.0;false;999;400000;25228
30;9770.0;9413.0;false;999;400000;23870
