Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
25;45410;44958;false;999;400000;22605
6;45410;44864;false;999;400000;23417
18;45410;44857;false;999;400000;22278
1;45410;44778;false;999;400000;23541
17;45410;44778;false;999;400000;22941
11;45410;44775;false;999;400000;22491
16;45410;44732;false;999;400000;22899
10;45410;44711;false;999;400000;22579
5;45410;44645;false;999;400000;22438
19;45410;44636;false;999;400000;24411
30;45410;44611;false;999;400000;23880
12;45410;44601;false;999;400000;23378
4;45410;44588;false;999;400000;23240
3;45410;44572;false;999;400000;23027
28;45410;44548;false;999;400000;24646
13;45410;44533;false;999;400000;23573
24;45410;44533;false;999;400000;24463
8;45410;44507;false;999;400000;21865
22;45410;44499;false;999;400000;23461
23;45410;44487;false;999;400000;23428
2;45410;44457;false;999;400000;22494
29;45410;44415;false;999;400000;23462
21;45410;44389;false;999;400000;24152
14;45410;44316;false;999;400000;22890
26;45410;44304;false;999;400000;22845
7;45410;44267;false;999;400000;22983
9;45410;44217;false;999;400000;23431
27;45410;44213;false;999;400000;24297
15;45410;44194;false;999;400000;23843
20;45410;44143;false;999;400000;22063
mean;45410;44537,6;#¡DIV/0!;999;400000;23234,03333
