Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2690.0;2690.0;true;154;62000;1828
2;2690.0;2690.0;true;79;32000;1224
3;2690.0;2690.0;true;33;13600;738
4;2690.0;2690.0;true;15;6400;613
5;2690.0;2690.0;true;39;16000;853
6;2690.0;2690.0;true;97;39200;2412
7;2690.0;2690.0;true;74;30000;1402
8;2690.0;2690.0;true;3;1600;431
9;2690.0;2690.0;true;60;24400;1079
10;2690.0;2690.0;true;39;16000;780
11;2690.0;2690.0;true;160;64400;1699
12;2690.0;2690.0;true;26;10800;691
13;2690.0;2690.0;true;269;108000;2443
14;2690.0;2690.0;true;6;2800;673
15;2690.0;2690.0;true;101;40800;1308
16;2690.0;2690.0;true;134;54000;1607
17;2690.0;2690.0;true;18;7600;669
18;2690.0;2690.0;true;82;33200;1542
19;2690.0;2690.0;true;22;9200;679
20;2690.0;2690.0;true;19;8000;696
21;2690.0;2690.0;true;17;7200;685
22;2690.0;2690.0;true;30;12400;825
23;2690.0;2690.0;true;92;37200;1532
24;2690.0;2690.0;true;10;4400;686
25;2690.0;2690.0;true;6;2800;556
26;2690.0;2690.0;true;128;51600;1525
27;2690.0;2690.0;true;8;3600;591
28;2690.0;2690.0;true;72;29200;2071
29;2690.0;2690.0;true;10;4400;530
30;2690.0;2690.0;true;23;9600;753
