Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;3279;3279;true;80;32400;1734
2;3279;3279;true;108;43600;2082
3;3279;3279;true;93;37600;1988
4;3279;3279;true;107;43200;1970
6;3279;3279;true;121;48800;2427
8;3279;3279;true;37;15200;1318
10;3279;3279;true;510;204400;5422
11;3279;3279;true;280;112400;3599
12;3279;3279;true;666;266800;6762
13;3279;3279;true;140;56400;2186
17;3279;3279;true;28;11600;1420
19;3279;3279;true;148;59600;2405
20;3279;3279;true;311;124800;3966
21;3279;3279;true;109;44000;2076
22;3279;3279;true;78;31600;1974
23;3279;3279;true;100;40400;1954
24;3279;3279;true;68;27600;1703
25;3279;3279;true;102;41200;2009
26;3279;3279;true;166;66800;2535
28;3279;3279;true;250;100400;3368
30;3279;3279;true;193;77600;2948
5;3279;3239;false;999;400000;9818
7;3279;3239;false;999;400000;9398
9;3279;3239;false;999;400000;9656
14;3279;3239;false;999;400000;9286
15;3279;3239;false;999;400000;9364
16;3279;3239;false;999;400000;9800
18;3279;3239;false;999;400000;9570
27;3279;3239;false;999;400000;10018
29;3279;3239;false;999;400000;9321
mean;3279;3267;#¡DIV/0!;422,8666667;169546,6667;4735,9
