Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;4653;4637;false;999;400000;23620
3;4653;4637;false;999;400000;24407
4;4653;4637;false;999;400000;24782
7;4653;4637;false;999;400000;24041
10;4653;4637;false;999;400000;25291
12;4653;4637;false;999;400000;25591
13;4653;4637;false;999;400000;22371
16;4653;4637;false;999;400000;27240
17;4653;4637;false;999;400000;23328
18;4653;4637;false;999;400000;25264
19;4653;4637;false;999;400000;26619
23;4653;4637;false;999;400000;22471
25;4653;4637;false;999;400000;23590
28;4653;4637;false;999;400000;26739
29;4653;4637;false;999;400000;23544
5;4653;4625;false;999;400000;22806
6;4653;4625;false;999;400000;24277
8;4653;4625;false;999;400000;25157
9;4653;4625;false;999;400000;23361
11;4653;4625;false;999;400000;23305
15;4653;4625;false;999;400000;22196
20;4653;4625;false;999;400000;23044
21;4653;4625;false;999;400000;22916
22;4653;4625;false;999;400000;26216
24;4653;4625;false;999;400000;24748
26;4653;4625;false;999;400000;24729
30;4653;4625;false;999;400000;23410
27;4653;4602;false;999;400000;24171
2;4653;4592;false;999;400000;24355
14;4653;4592;false;999;400000;22417
