Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, frs
7.0, 1.0124326649325113, 1, 1, 260.0, 20x20, Linear5, frs
170.0, 1.0112396329013964, 1, 1, 260.0, 2x200, Linear5, ss
207.0, 1.0276134115284903, 2, 1, 260.0, 2x200, Linear5, ss
242.0, 1.028286093929667, 3, 1, 260.0, 2x200, Linear5, ss
248.0, 1.042083625586678, 4, 1, 260.0, 2x200, Linear5, ss
256.0, 1.0336669004693424, 5, 1, 260.0, 2x200, Linear5, ss
284.0, 1.0313098101246778, 6, 1, 260.0, 2x200, Linear5, ss
320.0, 1.0308496712910171, 7, 1, 260.0, 2x200, Linear5, ss
323.0, 1.02699346237964, 8, 1, 260.0, 2x200, Linear5, ss
380.0, 1.0275293551106057, 9, 1, 260.0, 2x200, Linear5, ss
398.0, 1.0258834306696558, 10, 1, 260.0, 2x200, Linear5, ss
448.0, 1.0268911329645698, 11, 1, 260.0, 2x200, Linear5, ss
750.0, 1.0258442258105007, 12, 1, 260.0, 2x200, Linear5, ss
758.0, 1.0274666143226212, 13, 1, 260.0, 2x200, Linear5, ss
762.0, 1.0264538568630592, 14, 1, 260.0, 2x200, Linear5, ss
769.0, 1.0258502423326923, 15, 1, 260.0, 2x200, Linear5, ss
928.0, 1.0256453330491109, 16, 1, 260.0, 2x200, Linear5, ss
932.0, 1.0280432986674255, 17, 1, 260.0, 2x200, Linear5, ss
942.0, 1.0277553136456534, 18, 1, 260.0, 2x200, Linear5, ss
950.0, 1.0285909751358135, 19, 1, 260.0, 2x200, Linear5, ss
950.0, 1.0285909751358135, 19, 1, 260.0, 2x200, Linear5, ss
2942.0, 1.0345291845654208, 20, 3, 260.0, 2x200, Linear5, ss
2953.0, 1.0346772160438729, 21, 3, 260.0, 2x200, Linear5, ss
2960.0, 1.0335565367561932, 22, 3, 260.0, 2x200, Linear5, ss
2968.0, 1.0338461025779844, 23, 3, 260.0, 2x200, Linear5, ss
2980.0, 1.0324358483039016, 24, 3, 260.0, 2x200, Linear5, ss
3056.0, 1.0325097458836874, 25, 3, 260.0, 2x200, Linear5, ss
3192.0, 1.0312593710420073, 26, 3, 260.0, 2x200, Linear5, ss
3208.0, 1.0305178992590216, 27, 3, 260.0, 2x200, Linear5, ss
4585.0, 1.0276663850003327, 27, 4, 260.0, 2x200, Compact9, nrs
4592.0, 1.0277336808191084, 28, 4, 260.0, 2x200, Compact9, nrs
