Run 1
0, 100000000, 0, 1, 0, Dpx, 1.0, 1.0, 100, BinaryTournament, BinaryTournament
4.0, 1.0216144939877068, 1, 1, 260.0, Dpx, 1.0, 1.0, 100, BinaryTournament, BinaryTournament
8.0, 1.0112396329013964, 1, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
293.0, 1.028722307378841, 2, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
305.0, 1.0320821029428113, 3, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
310.0, 1.0474222329448135, 4, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
318.0, 1.0379377863558508, 5, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
336.0, 1.0342873024470687, 6, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
345.0, 1.033962067890018, 7, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
347.0, 1.0297168094037659, 8, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
434.0, 1.0307267583822206, 9, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
455.0, 1.0314769185157062, 10, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
469.0, 1.0323453020320104, 11, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
472.0, 1.0335046266707375, 12, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
479.0, 1.0345377535782245, 13, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
480.0, 1.0347137638607233, 14, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
488.0, 1.0342497310878542, 15, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
636.0, 1.0335582650821615, 16, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
640.0, 1.036994904317062, 17, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
659.0, 1.0373662990716226, 18, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
663.0, 1.040490040911984, 19, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
666.0, 1.042434733179181, 20, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
670.0, 1.0436113328734442, 21, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
672.0, 1.0416289995610148, 22, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
674.0, 1.041567588739118, 23, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
682.0, 1.0398356058749882, 24, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
800.0, 1.0400702901859586, 25, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
808.0, 1.0385291251788065, 26, 1, 260.0, Ux, 0.7, 0.4, 350, BinaryTournament, BinaryTournament
